tool	rank	metric	sample	value
MetaPhlAn4	phylum	False positives	mock	1.0
MetaPhlAn4	phylum	Completeness	mock	1.0
MetaPhlAn4	phylum	Purity	mock	0.6666666666666666
MetaPhlAn4	phylum	F1 score	mock	0.8
MetaPhlAn4	phylum	Jaccard index	mock	0.6666666666666666
MetaPhlAn4	class	True positives	mock	2.0
MetaPhlAn4	class	False negatives	mock	0.0
MetaPhlAn4	class	False positives	mock	1.0
MetaPhlAn4	class	Completeness	mock	1.0
MetaPhlAn4	class	Purity	mock	0.6666666666666666
MetaPhlAn4	class	F1 score	mock	0.8
MetaPhlAn4	class	Jaccard index	mock	0.6666666666666666
MetaPhlAn4	order	True positives	mock	4.0
MetaPhlAn4	order	False negatives	mock	0.0
MetaPhlAn4	order	False positives	mock	1.0
MetaPhlAn4	order	Completeness	mock	1.0
MetaPhlAn4	order	Purity	mock	0.8
MetaPhlAn4	order	F1 score	mock	0.888888888888889
MetaPhlAn4	order	Jaccard index	mock	0.8
MetaPhlAn4	family	True positives	mock	7.0
MetaPhlAn4	family	False negatives	mock	0.0
MetaPhlAn4	family	False positives	mock	1.0
MetaPhlAn4	family	Completeness	mock	1.0
MetaPhlAn4	family	Purity	mock	0.875
MetaPhlAn4	family	F1 score	mock	0.9333333333333333
MetaPhlAn4	family	Jaccard index	mock	0.875
MetaPhlAn4	genus	True positives	mock	8.0
MetaPhlAn4	genus	False negatives	mock	0.0
MetaPhlAn4	genus	False positives	mock	1.0
MetaPhlAn4	genus	Completeness	mock	1.0
MetaPhlAn4	genus	Purity	mock	0.8888888888888888
MetaPhlAn4	genus	F1 score	mock	0.9411764705882353
MetaPhlAn4	genus	Jaccard index	mock	0.8888888888888888
MetaPhlAn4	species	True positives	mock	7.0
MetaPhlAn4	species	False negatives	mock	1.0
MetaPhlAn4	species	False positives	mock	2.0
MetaPhlAn4	species	Completeness	mock	0.875
MetaPhlAn4	species	Purity	mock	0.7777777777777778
MetaPhlAn4	species	F1 score	mock	0.823529411764706
MetaPhlAn4	species	Jaccard index	mock	0.7
MetaPhlAn4	superkingdom	L1 norm error	mock	0.007958399999999992
MetaPhlAn4	phylum	L1 norm error	mock	0.08922416999999999
MetaPhlAn4	class	L1 norm error	mock	0.08922416999999999
MetaPhlAn4	order	L1 norm error	mock	0.08922417999999994
MetaPhlAn4	family	L1 norm error	mock	0.11887651
MetaPhlAn4	genus	L1 norm error	mock	0.11887651
MetaPhlAn4	species	L1 norm error	mock	0.32716771
MetaPhlAn4	na	Weighted UniFrac error	mock	0.006823047628333333
MetaPhlAn4	na	Unweighted UniFrac error	mock	0.24952928410960257
MetaPhlAn4	na	Weighted UniFrac (CAMI)	mock	0.8405516500000001
MetaPhlAn4	na	Unweighted UniFrac (CAMI)	mock	16.00000001
MetaPhlAn4	superkingdom	Sum of abundances	mock	1.0
MetaPhlAn4	phylum	Sum of abundances	mock	1.00000001
MetaPhlAn4	class	Sum of abundances	mock	1.00000001
MetaPhlAn4	order	Sum of abundances	mock	1.0
