
Species with high confidence:

.----------------------+---------+------------------+---------------+--------------+------------+-----------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------.
| Species              | taxID   | Genomic-distance | Shared-hashes | Completeness | Redundancy | Bin             | Scaffolds_in_Bin                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
+----------------------+---------+------------------+---------------+--------------+------------+-----------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Gloeothece verrucosa | 2546359 | 0.009            | 698/1000      | 0.7524       | 1.0380     | final_contigs_6 | k141_5913,k141_1973,k141_9854,k141_29556,k141_19706,k141_5915,k141_13799,k141_5917,k141_27590,k141_19711,k141_21677,k141_15774,k141_3947,k141_21685,k141_9857,k141_29582,k141_21689,k141_25642,k141_29589,k141_3963,k141_9867,k141_5944,k141_27627,k141_3970,k141_63,k141_17778,k141_19726,k141_5950,k141_2013,k141_103,k141_2023,k141_27641,k141_107,k141_5961,k141_27652,k141_111,k141_5968,k141_27655,k141_127,k141_17807,k141_9898,k141_3986,k141_143,k141_15800,k141_7932,k141_15811,k141_17817,k141_5991,k141_15843,k141_29636,k141_15849,k141_160,k141_6014,k141_161,k141_167,k141_19785,k141_19793,k141_169,k141_2054,k141_171,k141_2066,k141_23667,k141_15888,k141_211,k141_23695,k141_9977,k141_7958,k141_2090,k141_11829,k141_13830,k141_6029,k141_227,k141_6043,k141_237,k141_242,k141_6054,k141_248,k141_15947,k141_11841,k141_2113,k141_268,k141_2122,k141_15976,k141_281,k141_283,k141_4015,k141_9991,k141_27667,k141_4016,k141_2134,k141_9997,k141_10001,k141_10004,k141_2166,k141_25691,k141_299,k141_8001,k141_10024,k141_306,k141_10028,k141_10030,k141_8021,k141_2188,k141_13897,k141_330,k141_2190,k141_331,k141_13902,k141_337,k141_2192,k141_2199,k141_4047,k141_342,k141_23742,k141_23746,k141_29643,k141_348,k141_16018,k141_29650,k141_23765,k141_367,k141_377,k141_13935,k141_385,k141_386,k141_13943,k141_2239,k141_4081,k141_2243,k141_23840,k141_23844,k141_2245,k141_21728,k141_6077,k141_6091,k141_16089,k141_419,k141_16093,k141_13962,k141_429,k141_13967,k141_10064,k141_442,k141_10074,k141_10075,k141_10077,k141_16116,k141_465,k141_23868,k141_16150,k141_489,k141_23875,k141_23878,k141_14006,k141_16153,k141_8046,k141_509,k141_11851,k141_23890,k141_16158,k141_29676,k141_521,k141_29679,k141_16160,k141_29683,k141_4092,k141_4103,k141_4114,k141_10084,k141_10091,k141_4128,k141_4139,k141_14042,k141_4140,k141_10112,k141_10114,k141_4146,k141_4155,k141_29711,k141_10126,k141_4158,k141_4172,k141_10137,k141_544,k141_553,k141_29727,k141_4185,k141_4188,k141_14073,k141_23902,k141_10149,k141_17901,k141_25765,k141_25768,k141_593,k141_594,k141_10157,k141_21761,k141_595,k141_25773,k141_23933,k141_10162,k141_23934,k141_17921,k141_10174,k141_17922,k141_6127,k141_4221,k141_17930,k141_4236,k141_29748,k141_29750,k141_6154,k141_25801,k141_29751,k141_636,k141_646,k141_650,k141_663,k141_16213,k141_6157,k141_668,k141_25836,k141_672,k141_25850,k141_10219,k141_29756,k141_16228,k141_694,k141_23980,k141_17979,k141_4264,k141_697,k141_23989,k141_6189,k141_29766,k141_4267,k141_700,k141_29767,k141_23999,k141_705,k141_16249,k141_8114,k141_16254,k141_718,k141_10236,k141_17991,k141_4280,k141_29782,k141_6206,k141_734,k141_2259,k141_29786,k141_6211,k141_18011,k141_2264,k141_748,k141_10252,k141_6220,k141_752,k141_18017,k141_6224,k141_4307,k141_2279,k141_2282,k141_18035,k141_8130,k141_18036,k141_2287,k141_786,k141_29797,k141_4313,k141_29798,k141_792,k141_11879,k141_801,k141_16295,k141_813,k141_2303,k141_27733,k141_818,k141_16299,k141_2306,k141_4338,k141_4339,k141_10275,k141_27739,k141_27746,k141_25879,k141_823,k141_27748,k141_25885,k141_16342,k141_16344,k141_16356,k141_21799,k141_14090,k141_2348,k141_11914,k141_11915,k141_18065,k141_27784,k141_21807,k141_16397,k141_11923,k141_2362,k141_6249,k141_4379,k141_11928,k141_6254,k141_18083,k141_11929,k141_6256,k141_25890,k141_16410,k141_6259,k141_6261,k141_18094,k141_16419,k141_6273,k141_14133,k141_10331,k141_6282,k141_832,k141_10338,k141_6298,k141_11956,k141_18121,k141_10354,k141_6303,k141_24010,k141_29817,k141_16440,k141_6308,k141_24020,k141_16442,k141_11982,k141_6311,k141_29825,k141_870,k141_14164,k141_6322,k141_24050,k141_14168,k141_16464,k141_8187,k141_12038,k141_10401,k141_4409,k141_12045,k141_8205,k141_16492,k141_6350,k141_12064,k141_10417,k141_16505,k141_2418,k141_4427,k141_12068,k141_16520,k141_4434,k141_16527,k141_12092,k141_2440,k141_29847,k141_12111,k141_895,k141_903,k141_18163,k141_919,k141_29865,k141_6389,k141_930,k141_938,k141_27839,k141_950,k141_953,k141_955,k141_958,k141_29875,k141_27856,k141_27865,k141_12166,k141_12169,k141_12170,k141_25938,k141_12185,k141_979,k141_27894,k141_25950,k141_19861,k141_12201,k141_27895,k141_27899,k141_16629,k141_18180,k141_27901,k141_18183,k141_1008,k141_27908,k141_19881,k141_27911,k141_6417,k141_10457,k141_18204,k141_16641,k141_16645,k141_6433,k141_16646,k141_18206,k141_18209,k141_16647,k141_6445,k141_6451,k141_16648,k141_16662,k141_16665,k141_6463,k141_24090,k141_19907,k141_1078,k141_6473,k141_24098,k141_10508,k141_19912,k141_24101,k141_4449,k141_19922,k141_18227,k141_10532,k141_4461,k141_1126,k141_19924,k141_1141,k141_4467,k141_8249,k141_4472,k141_12287,k141_6479,k141_24113,k141_18243,k141_29924,k141_8271,k141_29928,k141_1184,k141_8274,k141_8280,k141_1201,k141_6490,k141_18251,k141_24148,k141_6494,k141_25965,k141_29940,k141_25974,k141_25998,k141_26020,k141_6526,k141_18285,k141_4493,k141_21862,k141_28006,k141_18307,k141_16713,k141_16716,k141_16718,k141_24194,k141_16724,k141_28024,k141_1672- |
|                      |         |                  |               |              |            |                 | 9,k141_16735,k141_18328,k141_12370,k141_8302,k141_12376,k141_2472,k141_16737,k141_12381,k141_28050,k141_6563,k141_12396,k141_24220,k141_8306,k141_12409,k141_6575,k141_28062,k141_24234,k141_28068,k141_24235,k141_28077,k141_16761,k141_28083,k141_12436,k141_29947,k141_28095,k141_10572,k141_24260,k141_10580,k141_24261,k141_12479,k141_29971,k141_24263,k141_10601,k141_8327,k141_24280,k141_18334,k141_8335,k141_2507,k141_2509,k141_21909,k141_18344,k141_21912,k141_2519,k141_18347,k141_28109,k141_4570,k141_14178,k141_4573,k141_16792,k141_4574,k141_16798,k141_18366,k141_28119,k141_29985,k141_18368,k141_8362,k141_21956,k141_21962,k141_28140,k141_21967,k141_1333,k141_4580,k141_18379,k141_4584,k141_1352,k141_6593,k141_18395,k141_14236,k141_1392,k141_1393,k141_18403,k141_24299,k141_4621,k141_14259,k141_10639,k141_16891,k141_14271,k141_10646,k141_10648,k141_30002,k141_6605,k141_4647,k141_2541,k141_14277,k141_30008,k141_16901,k141_19929,k141_6621,k141_30029,k141_10693,k141_22024,k141_2564,k141_6623,k141_10700,k141_2570,k141_30036,k141_18429,k141_30037,k141_16934,k141_16939,k141_10719,k141_16946,k141_2597,k141_18448,k141_28171,k141_2604,k141_16964,k141_8390,k141_28182,k141_19939,k141_12517,k141_4684,k141_8397,k141_6640,k141_16990,k141_28191,k141_1438,k141_6643,k141_16993,k141_2618,k141_6646,k141_4698,k141_26043,k141_19953,k141_28205,k141_19960,k141_2645,k141_26061,k141_26082,k141_19983,k141_1507,k141_2673,k141_17018,k141_1528,k141_17020,k141_26112,k141_26119,k141_17035,k141_28212,k141_26135,k141_1543,k141_1548,k141_30105,k141_1560,k141_1570,k141_19988,k141_30116,k141_4772,k141_1599,k141_17072,k141_2697,k141_4783,k141_4794,k141_4799,k141_30157,k141_30164,k141_4815,k141_18550,k141_30173,k141_1641,k141_6674,k141_18559,k141_4829,k141_14297,k141_6690,k141_18569,k141_1665,k141_4833,k141_26182,k141_26183,k141_6707,k141_1675,k141_26191,k141_14313,k141_1693,k141_18580,k141_26199,k141_14328,k141_4849,k141_19996,k141_1718,k141_4856,k141_14342,k141_28227,k141_1740,k141_18585,k141_17103,k141_24321,k141_17112,k141_17114,k141_4876,k141_1778,k141_24342,k141_4877,k141_26213,k141_18613,k141_26215,k141_2720,k141_1789,k141_26233,k141_30201,k141_17123,k141_6738,k141_17132,k141_6740,k141_17140,k141_8413,k141_28258,k141_17154,k141_8421,k141_8422,k141_22040,k141_8424,k141_30214,k141_8441,k141_28267,k141_18656,k141_8447,k141_8467,k141_24369,k141_8481,k141_28281,k141_24381,k141_18689,k141_22066,k141_22068,k141_24384,k141_28290,k141_12549,k141_4900,k141_22086,k141_12568,k141_1807,k141_1808,k141_28302,k141_1814,k141_12590,k141_1818,k141_20054,k141_26272,k141_28323,k141_28327,k141_8511,k141_8513,k141_22119,k141_8517,k141_26285,k141_28330,k141_18734,k141_30228,k141_22138,k141_8533,k141_2749,k141_8537,k141_26305,k141_26306,k141_8544,k141_22145,k141_28357,k141_26311,k141_22155,k141_18763,k141_22159,k141_8562,k141_22160,k141_1869,k141_22163,k141_8568,k141_1875,k141_28370,k141_8569,k141_26334,k141_20072,k141_8576,k141_24452,k141_1902,k141_4916,k141_10873,k141_14382,k141_20089,k141_28384,k141_26374,k141_20101,k141_22220,k141_2777,k141_14395,k141_8593,k141_10896,k141_22246,k141_1959,k141_14430,k141_1963,k141_28392,k141_26388,k141_1964,k141_26389,k141_26390,k141_14436,k141_26403,k141_22271,k141_14462,k141_22274,k141_30302,k141_26435,k141_20122,k141_8635,k141_28429,k141_28430,k141_28437,k141_22288,k141_24466,k141_24467,k141_30353,k141_24481,k141_22304,k141_24489,k141_26480,k141_14487,k141_26486,k141_30374,k141_30382,k141_28480,k141_17246,k141_12634,k141_22321,k141_22331,k141_12663,k141_17282,k141_22334,k141_10936,k141_14505,k141_24538,k141_26540,k141_17294,k141_24541,k141_24543,k141_4957,k141_14527,k141_12672,k141_8670,k141_10993,k141_22370,k141_2837,k141_11000,k141_22376,k141_11022,k141_6841,k141_17300,k141_28499,k141_4978,k141_26544,k141_22393,k141_20157,k141_12719,k141_22402,k141_2851,k141_28519,k141_12729,k141_2855,k141_26566,k141_14592,k141_12735,k141_26567,k141_12736,k141_12744,k141_5004,k141_11051,k141_5009,k141_11055,k141_5012,k141_20165,k141_17318,k141_2872,k141_28555,k141_11083,k141_2873,k141_11086,k141_2878,k141_22423,k141_11092,k141_5020,k141_14606,k141_5027,k141_11102,k141_5028,k141_11104,k141_17327,k141_18785,k141_8687,k141_14618,k141_8689,k141_17335,k141_12797,k141_18799,k141_12799,k141_22446,k141_26656,k141_22455,k141_24562,k141_18819,k141_24567,k141_22469,k141_24584,k141_17378,k141_14678,k141_14684,k141_17407,k141_26664,k141_22496,k141_20218,k141_22499,k141_5044,k141_5045,k141_28609,k141_14720,k141_24629,k141_26672,k141_20251,k141_28616,k141_28620,k141_5056,k141_28621,k141_26689,k141_20257,k141_6862,k141_5068,k141_2891,k141_6872,k141_26721,k141_5073,k141_6878,k141_2909,k141_22573,k141_12830,k141_24647,k141_2913,k141_5085,k141_6886,k141_5093,k141_6892,k141_28677,k141_12860,k141_6902,k141_5111,k141_2942,k141_2943,k141_14735,k141_20278,k141_2950,k141_28683,k141_17447,k141_28687,k141_17451,k141_11112,k141_24667,k141_12917,k141_6919,- |
|                      |         |                  |               |              |            |                 | k141_28691,k141_6921,k141_17459,k141_14779,k141_2969,k141_14786,k141_26792,k141_2970,k141_5126,k141_17474,k141_14802,k141_30407,k141_14809,k141_12955,k141_18870,k141_28706,k141_18873,k141_14822,k141_11139,k141_5155,k141_2992,k141_18882,k141_28720,k141_2995,k141_12977,k141_30447,k141_5165,k141_14848,k141_5171,k141_18895,k141_18900,k141_14873,k141_8714,k141_18907,k141_18910,k141_22583,k141_28743,k141_8719,k141_28745,k141_8721,k141_14897,k141_24715,k141_6975,k141_22596,k141_14903,k141_28752,k141_8731,k141_8736,k141_14922,k141_14924,k141_5192,k141_8742,k141_24737,k141_11267,k141_7022,k141_24772,k141_11279,k141_3018,k141_3020,k141_28783,k141_20293,k141_5240,k141_28788,k141_5244,k141_11310,k141_7054,k141_30502,k141_8805,k141_24790,k141_20307,k141_24799,k141_8807,k141_18957,k141_20313,k141_24802,k141_11330,k141_18964,k141_18965,k141_24805,k141_14931,k141_26826,k141_5282,k141_12987,k141_28815,k141_14938,k141_12989,k141_14939,k141_17549,k141_18982,k141_8844,k141_30514,k141_3038,k141_28817,k141_26860,k141_26863,k141_19001,k141_30535,k141_8847,k141_3061,k141_19006,k141_30552,k141_13018,k141_26880,k141_8863,k141_19015,k141_5302,k141_26882,k141_30560,k141_19018,k141_13028,k141_8872,k141_30573,k141_20321,k141_28829,k141_5311,k141_30575,k141_20335,k141_5313,k141_8894,k141_8896,k141_8897,k141_5317,k141_30602,k141_22634,k141_19053,k141_11403,k141_11404,k141_8909,k141_11407,k141_3070,k141_22648,k141_8910,k141_13051,k141_13052,k141_5338,k141_20364,k141_5346,k141_22669,k141_19082,k141_11430,k141_22679,k141_7075,k141_5362,k141_19085,k141_26952,k141_3094,k141_28839,k141_17609,k141_5395,k141_8926,k141_11449,k141_28855,k141_28856,k141_30620,k141_13100,k141_11457,k141_30622,k141_8935,k141_8940,k141_17635,k141_8943,k141_20404,k141_11480,k141_3107,k141_17645,k141_17682,k141_3132,k141_17684,k141_24839,k141_3135,k141_17692,k141_5419,k141_3142,k141_19135,k141_24858,k141_24869,k141_17731,k141_3163,k141_3165,k141_19156,k141_20417,k141_22696,k141_3170,k141_8961,k141_14979,k141_19172,k141_30646,k141_8975,k141_5449,k141_8979,k141_14985,k141_11633,k141_30651,k141_8986,k141_30663,k141_8990,k141_5456,k141_3185,k141_30666,k141_8992,k141_8997,k141_15002,k141_19193,k141_9003,k141_15010,k141_15016,k141_19211,k141_3208,k141_5501,k141_3214,k141_3216,k141_5513,k141_5515,k141_9041,k141_20446,k141_3225,k141_15046,k141_9077,k141_3234,k141_9096,k141_22714,k141_3243,k141_22726,k141_11735,k141_9121,k141_9123,k141_22742,k141_13143,k141_15088,k141_15099,k141_13149,k141_11778,k141_30689,k141_13156,k141_30697,k141_9130,k141_15109,k141_27063,k141_11789,k141_3273,k141_15112,k141_30704,k141_9147,k141_9150,k141_9152,k141_30711,k141_9154,k141_3281,k141_9156,k141_24874,k141_15135,k141_30721,k141_3290,k141_30723,k141_30729,k141_24883,k141_30737,k141_7137,k141_9167,k141_3310,k141_27088,k141_30751,k141_24890,k141_13170,k141_9169,k141_24894,k141_15184,k141_15195,k141_30786,k141_30789,k141_24926,k141_28880,k141_30795,k141_7182,k141_30804,k141_24938,k141_27133,k141_7184,k141_9218,k141_24943,k141_3328,k141_9219,k141_30819,k141_20483,k141_30827,k141_9226,k141_28919,k141_20486,k141_7212,k141_27158,k141_30836,k141_27163,k141_30845,k141_20501,k141_28929,k141_7229,k141_22780,k141_19223,k141_9288,k141_5532,k141_20536,k141_9310,k141_27235,k141_20545,k141_5552,k141_27250,k141_30893,k141_5562,k141_27257,k141_7233,k141_5565,k141_20550,k141_7234,k141_27267,k141_7241,k141_3352,k141_5572,k141_3357,k141_30904,k141_3367,k141_27300,k141_22833,k141_5608,k141_30928,k141_27307,k141_19242,k141_30934,k141_22839,k141_19251,k141_5618,k141_22851,k141_30949,k141_30955,k141_30958,k141_5624,k141_22866,k141_30960,k141_7286,k141_30969,k141_30971,k141_22889,k141_7314,k141_30992,k141_22905,k141_7318,k141_30993,k141_28977,k141_30996,k141_28978,k141_22915,k141_30997,k141_22923,k141_31010,k141_31015,k141_22932,k141_29022,k141_3372,k141_29027,k141_5661,k141_3379,k141_19261,k141_19266,k141_5666,k141_7373,k141_19276,k141_7388,k141_19292,k141_29058,k141_27438,k141_27441,k141_29069,k141_5704,k141_27453,k141_19310,k141_22944,k141_22947,k141_27477,k141_7406,k141_5721,k141_29089,k141_29094,k141_29102,k141_27516,k141_5743,k141_7431,k141_9336,k141_5777,k141_7458,k141_20556,k141_22977,k141_3392,k141_7466,k141_5795,k141_3401,k141_7476,k141_7495,k141_22990,k141_7500,k141_31035,k141_7501,k141_3413,k141_7503,k141_7507,k141_7509,k141_25180,k141_25186,k141_22998,k141_25191,k141_27564,k141_5841,k141_25255,k141_23013,k141_23019,k141_3418,k141_25275,k141_5842,k141_3419,k141_3420,k141_3424,k141_23044,k141_5849,k141_3429,k141_23060,k141_5852,k141_23066,k141_20589,k141_25317,k141_31131,k141_5857,k141_9341,k141_7527,k141_31155,k141_5877,k141_5882,k141_19404,k141_7549,k141_19410,k141_7555,k141_19413,k141_5895,k141_31167,k141_19414,k141_7566,k141_31175,k141_5899,k141_25365,k141_19421,k141_5907,k141_25378,k141_25380,k141_19461,k141_19472,k141_9351,k141_19476,k141_9374,k141_7600,k141_3448,k141_31213,k141_3457,k141_345- |
|                      |         |                  |               |              |            |                 | 8,k141_25393,k141_3467,k141_25402,k141_20609,k141_20610,k141_19509,k141_19511,k141_3487,k141_25417,k141_25419,k141_13199,k141_20626,k141_31246,k141_19554,k141_7606,k141_15204,k141_15209,k141_7632,k141_15227,k141_7648,k141_7655,k141_7666,k141_9420,k141_9421,k141_3494,k141_7728,k141_13274,k141_19576,k141_15250,k141_7741,k141_19583,k141_31269,k141_25431,k141_23099,k141_19589,k141_25436,k141_3506,k141_20718,k141_3517,k141_9444,k141_20736,k141_3532,k141_3534,k141_19647,k141_23124,k141_3546,k141_23130,k141_15294,k141_19660,k141_23134,k141_15295,k141_3550,k141_15309,k141_13342,k141_19676,k141_19685,k141_19697,k141_25458,k141_15337,k141_7754,k141_25464,k141_13355,k141_7772,k141_15351,k141_25467,k141_3613,k141_15368,k141_3617,k141_15380,k141_7805,k141_3622,k141_3628,k141_15388,k141_25492,k141_20820,k141_7858,k141_13406,k141_13410,k141_13412,k141_7879,k141_13422,k141_25523,k141_13444,k141_13466,k141_23157,k141_23160,k141_15491,k141_25541,k141_31297,k141_31299,k141_15530,k141_15537,k141_31304,k141_13473,k141_3694,k141_23208,k141_25572,k141_3697,k141_9483,k141_23225,k141_25590,k141_13486,k141_25597,k141_9488,k141_25601,k141_31313,k141_23236,k141_20836,k141_25605,k141_31328,k141_23251,k141_9530,k141_9537,k141_31345,k141_31348,k141_31352,k141_31353,k141_9564,k141_31371,k141_29146,k141_29150,k141_31381,k141_31389,k141_29151,k141_13511,k141_31392,k141_15607,k141_20872,k141_3772,k141_9603,k141_3773,k141_15633,k141_20873,k141_9607,k141_13519,k141_31418,k141_13525,k141_9615,k141_15655,k141_23355,k141_23357,k141_20904,k141_23367,k141_13548,k141_20915,k141_9637,k141_13552,k141_20917,k141_20918,k141_13561,k141_13564,k141_20919,k141_13596,k141_3801,k141_23381,k141_3802,k141_3805,k141_15684,k141_20954,k141_3825,k141_20962,k141_9647,k141_15691,k141_9649,k141_3829,k141_31470,k141_20966,k141_20977,k141_15727,k141_9660,k141_15729,k141_20979,k141_23390,k141_23396,k141_23397,k141_29176,k141_23407,k141_20989,k141_29188,k141_29193,k141_13618,k141_21019,k141_13624,k141_13632,k141_13641,k141_3846,k141_13655,k141_15753,k141_13674,k141_3852,k141_13678,k141_23445,k141_23451,k141_3885,k141_29281,k141_29282,k141_23480,k141_29288,k141_29296,k141_29298,k141_23538,k141_23543,k141_3891,k141_3898,k141_3899,k141_3901,k141_23583,k141_3919,k141_21076,k141_21083,k141_9695,k141_21122,k141_21135,k141_21136,k141_29346,k141_21142,k141_9736,k141_29364,k141_9751,k141_29370,k141_9757,k141_9769,k141_29384,k141_13701,k141_29386,k141_13710,k141_9793,k141_13714,k141_13715,k141_13718,k141_9810,k141_29398,k141_29401,k141_29404,k141_29421,k141_23591,k141_13733,k141_23600,k141_21185,k141_29485,k141_21207,k141_29511,k141_21220,k141_29542,k141_21272,k141_23627,k141_21285,k141_21289,k141_21292,k141_13770,k141_21307,k141_21313,k141_21328,k141_9823,k141_21335,k141_9835,k141_9846,k141_21352,k141_21358,k141_21372,k141_21393,k141_21397,k141_21412,k141_21432,k141_21489,k141_21506,k141_21507,k141_21529,k141_21545,k141_21602,k141_21603,k141_21608,k141_21609,k141_21639,k141_21648,k141_21667                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| Helicobacter cinaedi | 213     | 0.004            | 851/1000      | 0.9619       | 1.0990     | final_contigs_- | k141_5951,k141_27665,k141_21750,k141_29742,k141_11873,k141_18132,k141_10503,k141_29939,k141_4516,k141_8388,k141_19944,k141_30042,k141_26151,k141_1610,k141_2739,k141_22061,k141_20024,k141_1800,k141_30217,k141_1906,k141_26397,k141_28402,k141_4948,k141_14598,k141_14625,k141_8702,k141_17433,k141_17499,k141_8724,k141_11375,k141_20344,k141_14959,k141_30634,k141_14978,k141_7125,k141_29012,k141_7399,k141_9326,k141_5783,k141_7742,k141_20763,k141_3774,k141_15733,k141_29278                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|                      |         |                  |               |              |            | 12              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| Pseudomonas aerugin- | 287     | 0.000            | 998/1000      | 0.8952       | 1.0106     | final_contigs_3 | k141_13801,k141_7996,k141_11845,k141_25717,k141_27677,k141_8109,k141_2246,k141_19837,k141_11865,k141_10269,k141_14089,k141_8153,k141_21811,k141_10453,k141_4445,k141_12322,k141_6537,k141_2452,k141_14170,k141_19928,k141_10728,k141_18841,k141_8708,k141_22605,k141_8912,k141_13158,k141_24870,k141_5522,k141_9323,k141_19260,k141_3432,k141_19480,k141_9410,k141_23069,k141_25438,k141_13468,k141_25554,k141_13749                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
