Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,screen_reads.fastq
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Moellerella,Moellerella_wisconsensis,NCTC12132,0.07957271772462908
Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae,Roseibium,Roseibium_salinum,CECT_8816,0.5293240766483909
Bacteria,Cyanobacteriota,Cyanophyceae,Chroococcidiopsidales,Aliterellaceae,Aliterella,Aliterella_atlantica,CENA595,0.8941326681435322
Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Psychromicrobium,Psychromicrobium_silvestre,DSM_102047,0.12211422009644526
Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Microlunatus,Microlunatus_endophyticus,CGMCC_47306,0.23793929629598518
Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Dermabacteraceae,Brachybacterium,Brachybacterium_sacelli,JCM_12139,0.20414343226348974
Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Bradyrhizobium_macuxiense,BR_10303,3.980432162067356
Bacteria,Bacillota,Bacilli,Caryophanales,Paenibacillaceae,Paenibacillus,Paenibacillus_psychroresistens,ML311-T8,0.16001483946542933
Bacteria,Bacillota,Bacilli,Caryophanales,Bacillaceae,Gracilibacillus,Gracilibacillus_dipsosauri,DD1,4.310893336128053
Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Phormidium,Phormidium_nigroviride,PCC_7112,0.17809098656997097
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herminiimonas,Herminiimonas_arsenitoxidans,AS8,0.25423021122099965
Bacteria,Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus_Phytoplasma,Candidatus_Phytoplasma_citri,BAWM-OMN-WBDL,0.01435615194023501
Bacteria,Bacillota,Bacilli,Caryophanales,Paenibacillaceae,Paenibacillus,Paenibacillus_sinopodophylli,CCTCC_AB_2016047,0.08176605042425927
