tool	rank	metric	sample	value
RaPDTool_screen	phylum	False positives	mock	15.0
RaPDTool_screen	phylum	Completeness	mock	1.0
RaPDTool_screen	phylum	Purity	mock	0.11764705882352941
RaPDTool_screen	phylum	F1 score	mock	0.21052631578947367
RaPDTool_screen	phylum	Jaccard index	mock	0.11764705882352941
RaPDTool_screen	class	True positives	mock	2.0
RaPDTool_screen	class	False negatives	mock	0.0
RaPDTool_screen	class	False positives	mock	22.0
RaPDTool_screen	class	Completeness	mock	1.0
RaPDTool_screen	class	Purity	mock	0.08333333333333333
RaPDTool_screen	class	F1 score	mock	0.15384615384615385
RaPDTool_screen	class	Jaccard index	mock	0.08333333333333333
RaPDTool_screen	order	True positives	mock	4.0
RaPDTool_screen	order	False negatives	mock	0.0
RaPDTool_screen	order	False positives	mock	31.0
RaPDTool_screen	order	Completeness	mock	1.0
RaPDTool_screen	order	Purity	mock	0.11428571428571428
RaPDTool_screen	order	F1 score	mock	0.20512820512820512
RaPDTool_screen	order	Jaccard index	mock	0.11428571428571428
RaPDTool_screen	family	True positives	mock	7.0
RaPDTool_screen	family	False negatives	mock	0.0
RaPDTool_screen	family	False positives	mock	38.0
RaPDTool_screen	family	Completeness	mock	1.0
RaPDTool_screen	family	Purity	mock	0.15555555555555556
RaPDTool_screen	family	F1 score	mock	0.2692307692307693
RaPDTool_screen	family	Jaccard index	mock	0.15555555555555556
RaPDTool_screen	genus	True positives	mock	8.0
RaPDTool_screen	genus	False negatives	mock	0.0
RaPDTool_screen	genus	False positives	mock	55.0
RaPDTool_screen	genus	Completeness	mock	1.0
RaPDTool_screen	genus	Purity	mock	0.12698412698412698
RaPDTool_screen	genus	F1 score	mock	0.22535211267605632
RaPDTool_screen	genus	Jaccard index	mock	0.12698412698412698
RaPDTool_screen	species	True positives	mock	6.0
RaPDTool_screen	species	False negatives	mock	2.0
RaPDTool_screen	species	False positives	mock	67.0
RaPDTool_screen	species	Completeness	mock	0.75
RaPDTool_screen	species	Purity	mock	0.0821917808219178
RaPDTool_screen	species	F1 score	mock	0.14814814814814814
RaPDTool_screen	species	Jaccard index	mock	0.08
RaPDTool_screen	superkingdom	L1 norm error	mock	0.06892767999999995
RaPDTool_screen	phylum	L1 norm error	mock	0.4369655799999999
RaPDTool_screen	class	L1 norm error	mock	0.46920459999999997
RaPDTool_screen	order	L1 norm error	mock	0.5961828200000001
RaPDTool_screen	family	L1 norm error	mock	0.65661646
RaPDTool_screen	genus	L1 norm error	mock	0.9265123000000002
RaPDTool_screen	species	L1 norm error	mock	1.24326607
RaPDTool_screen	na	Weighted UniFrac error	mock	0.03737786938666666
RaPDTool_screen	na	Unweighted UniFrac error	mock	16.071851317465562
RaPDTool_screen	na	Weighted UniFrac (CAMI)	mock	4.397675509999998
RaPDTool_screen	na	Unweighted UniFrac (CAMI)	mock	779.8960660999999
RaPDTool_screen	superkingdom	Sum of abundances	mock	1.0
RaPDTool_screen	phylum	Sum of abundances	mock	1.0000000199999999
RaPDTool_screen	class	Sum of abundances	mock	1.0
RaPDTool_screen	order	Sum of abundances	mock	1.00000004
RaPDTool_screen	family	Sum of abundances	mock	1.00000004
RaPDTool_screen	genus	Sum of abundances	mock	1.00000004
RaPDTool_screen	species	Sum of abundances	mock	1.00000003
RaPDTool_screen	superkingdom	Taxon counts	mock	2.0
RaPDTool_screen	phylum	Taxon counts	mock	17.0
RaPDTool_screen	class	Taxon counts	mock	24.0
RaPDTool_screen	order	Taxon counts	mock	35.0
RaPDTool_screen	family	Taxon counts	mock	45.0
RaPDTool_screen	genus	Taxon counts	mock	63.0
RaPDTool_screen	species	Taxon counts	mock	73.0
RaPDTool_full	superkingdom	Bray-Curtis distance	mock	0.03780407999999997
RaPDTool_full	phylum	Bray-Curtis distance	mock	0.19906595599532975
RaPDTool_full	class	Bray-Curtis distance	mock	0.20241059202410588
