tool,replicate,wall_seconds,peak_rss_kb,peak_rss_gb,exit_code
rapdtool,1,105.3,7053056,6.73,0
rapdtool_screen,1,150.5,7053328,6.73,0
kraken2_full,1,1018.8,108902844,103.86,0
kraken2_cap16,1,92.0,16394132,15.63,0
kraken2_cap8,1,75.8,8547072,8.15,0
metaphlan,1,134.9,35624700,33.97,0
