tool	rank	metric	sample	value
RaPDTool_screen	phylum	False positives	mock	7.0
RaPDTool_screen	phylum	Completeness	mock	1.0
RaPDTool_screen	phylum	Purity	mock	0.6818181818181818
RaPDTool_screen	phylum	F1 score	mock	0.8108108108108109
RaPDTool_screen	phylum	Jaccard index	mock	0.6818181818181818
RaPDTool_screen	class	True positives	mock	17.0
RaPDTool_screen	class	False negatives	mock	0.0
RaPDTool_screen	class	False positives	mock	18.0
RaPDTool_screen	class	Completeness	mock	1.0
RaPDTool_screen	class	Purity	mock	0.4857142857142857
RaPDTool_screen	class	F1 score	mock	0.6538461538461539
RaPDTool_screen	class	Jaccard index	mock	0.4857142857142857
RaPDTool_screen	order	True positives	mock	19.0
RaPDTool_screen	order	False negatives	mock	0.0
RaPDTool_screen	order	False positives	mock	51.0
RaPDTool_screen	order	Completeness	mock	1.0
RaPDTool_screen	order	Purity	mock	0.2714285714285714
RaPDTool_screen	order	F1 score	mock	0.42696629213483145
RaPDTool_screen	order	Jaccard index	mock	0.2714285714285714
RaPDTool_screen	family	True positives	mock	19.0
RaPDTool_screen	family	False negatives	mock	0.0
RaPDTool_screen	family	False positives	mock	84.0
RaPDTool_screen	family	Completeness	mock	1.0
RaPDTool_screen	family	Purity	mock	0.18446601941747573
RaPDTool_screen	family	F1 score	mock	0.3114754098360656
RaPDTool_screen	family	Jaccard index	mock	0.18446601941747573
RaPDTool_screen	genus	True positives	mock	19.0
RaPDTool_screen	genus	False negatives	mock	0.0
RaPDTool_screen	genus	False positives	mock	118.0
RaPDTool_screen	genus	Completeness	mock	1.0
RaPDTool_screen	genus	Purity	mock	0.1386861313868613
RaPDTool_screen	genus	F1 score	mock	0.24358974358974358
RaPDTool_screen	genus	Jaccard index	mock	0.1386861313868613
RaPDTool_screen	species	True positives	mock	20.0
RaPDTool_screen	species	False negatives	mock	0.0
RaPDTool_screen	species	False positives	mock	168.0
RaPDTool_screen	species	Completeness	mock	1.0
